unique_id,true_label,model_0_predicted_label,model_0_accuracy,model_2_predicted_label,model_2_accuracy,model_3_predicted_label,model_3_accuracy,model_4_predicted_label,model_4_accuracy,difficulty_score
1_1a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_1b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_1c,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1_2a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_2b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_2c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_3a,2,1,0.0,0,0.0,2,1.0,2,1.0,0.5
1_3b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_3c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_4a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_4b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_4c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_5a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_5b,0,1,0.0,1,0.0,1,0.0,0,1.0,0.25
1_5c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_6a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_6b,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1_6c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_7a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_7b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_7c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_8a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_8b,0,0,1.0,1,0.0,0,1.0,1,0.0,0.5
1_8c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_9a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_9b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_9c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_10a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_10b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_10c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_11a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
