unique_id,true_label,model_0_predicted_label,model_0_accuracy,model_1_predicted_label,model_1_accuracy,model_3_predicted_label,model_3_accuracy,model_4_predicted_label,model_4_accuracy,difficulty_score
2_1a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_1b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_1c,1,1,1.0,1,1.0,0,0.0,1,1.0,0.75
2_2a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_2b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_2c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_3a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_3b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_3c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_4a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_4b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_4c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_5a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_5b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_5c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_6a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_6b,0,1,0.0,1,0.0,2,0.0,0,1.0,0.25
2_6c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_7a,2,1,0.0,1,0.0,2,1.0,1,0.0,0.25
2_7b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_7c,1,1,1.0,0,0.0,1,1.0,1,1.0,0.75
2_8a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_8b,0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
2_8c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_9a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_9b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_9c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_10a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_10b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_10c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_11a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_11b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_11c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_12a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_12b,-1,1,0.0,1,0.0,1,0.0,0,0.0,0.0
2_12c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_13a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_13b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_13c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_14a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_14b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_14c,2,2,1.0,2,1.0,0,0.0,2,1.0,0.75
2_15a,0,1,0.0,0,1.0,0,1.0,0,1.0,0.75
2_15b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_15c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_16a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_16b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_16c,2,2,1.0,1,0.0,1,0.0,1,0.0,0.25
2_17a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_17b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_17c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_18a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_18b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_18c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_19a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_19b,0,2,0.0,0,1.0,0,1.0,0,1.0,0.75
2_19c,1,0,0.0,1,1.0,0,0.0,1,1.0,0.5
2_20a,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
2_20b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_20c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_21a,0,0,1.0,2,0.0,2,0.0,1,0.0,0.25
2_21b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_21c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_22a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_22b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_22c,1,0,0.0,1,1.0,1,1.0,0,0.0,0.5
2_23a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_23b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_23c,2,1,0.0,1,0.0,1,0.0,1,0.0,0.0
2_24a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_24b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_24c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_25a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_25b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_25c,2,2,1.0,1,0.0,2,1.0,1,0.0,0.5
2_26a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_26b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_26c,0,1,0.0,0,1.0,1,0.0,1,0.0,0.25
2_27a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_27b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_27c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_28a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_28b,2,2,1.0,1,0.0,2,1.0,2,1.0,0.75
2_28c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_29a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_29b,2,2,1.0,2,1.0,2,1.0,1,0.0,0.75
2_29c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_30a,2,2,1.0,2,1.0,2,1.0,1,0.0,0.75
2_30b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_30c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_31a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_31b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_31c,1,1,1.0,1,1.0,0,0.0,1,1.0,0.75
2_32a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_32b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_32c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_33a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_33b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_33c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_34a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_34b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_34c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_35a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_35b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_35c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_36a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_36b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_36c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_37a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_37b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_37c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_38a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_38b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_38c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_39a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_39b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_39c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_40a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
2_40b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
2_40c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
2_41a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
