premise,hypothesis,label,unique_id
"Two children in hats play in an open, rocky field.",The children are at home eating lunch.,2,0_14a
"Two children in hats play in an open, rocky field.",The children are playing in a rocky field.,0,0_14b
"Two children in hats play in an open, rocky field.",The children are playing catch.,1,0_14c
New sport is being played to show appreciation to the kids who can not walk.,People are playing a sport in honor of crippled people.,0,0_19a
New sport is being played to show appreciation to the kids who can not walk.,People are playing football without gear.,2,0_19b
New sport is being played to show appreciation to the kids who can not walk.,People a playing a sport to help fund a crippled people fund.,1,0_19c
A seated woman with short hair and a camera throws a Frisbee to a brown dog.,The woman throws a Frisbee to the dog.,0,0_56a
A seated woman with short hair and a camera throws a Frisbee to a brown dog.,The woman is chasing the dog that took her camera.,2,0_56b
A seated woman with short hair and a camera throws a Frisbee to a brown dog.,A woman throws a disc to a dog and gets ready to take a picture.,1,0_56c
Lady wearing a yellow top is sitting on a chair,A lady wearing a yellow top is standing on the kitchen table.,2,0_71a
Lady wearing a yellow top is sitting on a chair,A woman with a yellow to sits.,0,0_71b
Lady wearing a yellow top is sitting on a chair,A lady wearing a yellow top is sitting on a chair and shaving her legs.,1,0_71c
A woman helps boys on a computer.,The woman is helping a kid eat.,2,0_107a
A woman helps boys on a computer.,The boy is writing his English paper.,1,0_107b
A woman helps boys on a computer.,The boy is using a computer,0,0_107c
The nurse smiles as she gently rubs the tummy of the sleeping child.,The sleeping child is standing.,2,0_117a
The nurse smiles as she gently rubs the tummy of the sleeping child.,The sleeping child is in the hospital.,0,0_117b
The nurse smiles as she gently rubs the tummy of the sleeping child.,The sleeping child lies on a hospital bed.,1,0_117c
There is a homeless man outside this building.,There is a rich man outside this building.,2,0_213a
There is a homeless man outside this building.,The homeless man is trying to get donations.,1,0_213b
There is a homeless man outside this building.,There is a homeless man outside this building.,0,0_213c
Several people are huddled around a table in an Asian country.,People standing around a table.,1,0_236a
Several people are huddled around a table in an Asian country.,People around a table in an Asian country.,0,0_236b
Several people are huddled around a table in an Asian country.,People walking down a road.,2,0_236c
A man in dark clothing photographs a model sitting in a shopping mall parking lot.,A woman photographs a man in a parking lot.,2,0_257a
A man in dark clothing photographs a model sitting in a shopping mall parking lot.,A man takes pictures of a model in a parking lot.,0,0_257b
A man in dark clothing photographs a model sitting in a shopping mall parking lot.,A photographers photographs a model for his portfolio.,1,0_257c
A young teenager is getting ready to kick a soccer ball.,A girl is playing soccer.,1,0_306a
A young teenager is getting ready to kick a soccer ball.,A boy is sleeping.,2,0_306b
A young teenager is getting ready to kick a soccer ball.,A teenager is playing soccer.,0,0_306c
This group of young people is sitting on the floor.,The group of young people is standing in a circle.,2,0_317a
This group of young people is sitting on the floor.,A group of young people is sitting on the ground.,0,0_317b
This group of young people is sitting on the floor.,A group of young people sitting on the floor is singing a song together.,1,0_317c
Three men talking to each other and drinking.,Three women are going for a bike ride.,2,0_377a
Three men talking to each other and drinking.,Three men are drinking and talking.,0,0_377b
Three men talking to each other and drinking.,Three men are enjoying happy hour after work.,1,0_377c
Families are playing at the park on tire swings.,Children are running around playing together.,1,0_484a
Families are playing at the park on tire swings.,The park is completely deserted.,2,0_484b
Families are playing at the park on tire swings.,There are people on the tire swings.,0,0_484c
Two women are observing something at a meeting.,Women are observing a power point presentation.,1,0_639a
Two women are observing something at a meeting.,Women are observing at a meeting.,0,0_639b
Two women are observing something at a meeting.,A boy is playing on his phone.,2,0_639c
A man in a yellow shirt is walking away from the camera carrying a basket on his head.,The man is running towards the camera.,2,0_690a
A man in a yellow shirt is walking away from the camera carrying a basket on his head.,The man is camera shy.,1,0_690b
A man in a yellow shirt is walking away from the camera carrying a basket on his head.,A man is carrying a basket on his head.,0,0_690c
a child sitting on a lawn chair looking up at the camera,An adult sleeps in a lawn chair.,2,0_776a
a child sitting on a lawn chair looking up at the camera,"A child looks at his mother, who is holding the camera.",1,0_776b
