premise,hypothesis,label
Family standing in a small village.,A family is standing talking.,1
A group of people are walking in single file at an exhibit.,People walk single file at an exhibit.,0
A little girl in an Orange butterfly costume holding a brown paper bag talks to another little girl wearing a purple fairy costume.,Two girls are wearing costumes.,0
A group of younger people posing in front of a guard rail on the side of a road.,A group of people drive by a guard rail on the side of the road.,2
A black dog is poised to catch a Frisbee.,A cat is ready to kill a spider.,2
An older lady in a black shirt is adding ingredients to a KitchenAid mixing bowl as a crowd looks on.,A person is displaying cooking techniques to other people.,0
A woman is sitting on a couch looking at the screen of her laptop.,A woman utilizes her laptop,0
The pain job on this craft is pleasing to the eye.,The object is too small to see with the naked eye.,2
A man in a black shirt leans on a counter.,A man leans over,0
"Nine people are dressed like mimes, with white makeup on their faces, four are playing musical instruments.",Several cooks are in a kitchen preparing various ingredients.,2
The woman is holding a grocery bag as several children look into it.,The children are picking out what candy they want.,1
A worker sleeping outside in a chair during the daytime.,A man runs around a chair.,2
Three people standing on a beach talking with cameras,Photographers are having a conversation on the beach,0
A man with a badge is standing on a wood floor next to a structure.,A man in a badge is on wood.,0
A girl is sitting on a bench in front of a bike cleaning shoes with a brush.,a child is shining shoes.,0
A lady wearing scarf hat and sunglasses shopping.,A lady with a scarf is doing pushups on the display cases at a department store and grunting.,2
"A man waiting in the subway area next to the bus, reading the paper.",A man is waiting outside in a public transportation area.,0
A guy wearing a white shirt and khaki pants is sitting on steps made of stone.,A man is sitting on the steps.,0
A biker dressed in orange and navy is competitively riding a red and white bike.,The biker is walking.,2
A woman in a red dress and heels and a man in a pin striped suit are dancing the tango on the sidewalk.,A woman is wearing a long red dress.,1
This is a hockey player in a red and white uniform and a white helmet.,A hockey player is dressed in a team uniform.,0
The warrior is set for practicing battle with his opponent.,The warrior is a princess.,2
A cyclist on a neon yellow bike is airborne.,the cyclist is on a bike,0
A child is reading a book on a bed.,A child is enjoying a novel.,1
The man and woman are sitting on wooden steps holding a baby.,Two men are walking down stairs.,2
A cloudy but well-populated beach with a woman in a white gown with a basket walking past.,There are many people at the beach.,0
A little girl sitting on a chair is blowing up a giant yellow balloon.,A girl floats away while holding on to a balloon string.,2
A man has fallen over on the street at night,He is outside.,0
Two boys wearing sports uniforms stand in a grassy field.,The boys are inside the house.,2
A man skateboarding on a bench next to a bend tree in front of a white building.,The man is skateboarding outside.,0
A man with a black had holds a long thin device while perched on a seat that is in front of a curb and bushes.,The man has a briefcase.,1
A man wearing a hat and crossing his arms is standing on a street corner.,A man is waiting for his wife to get off work.,1
A silver and black race car turns sideways and blows smoke out the back of the car.,Smoke is billowing from a car,0
A woman with red curly hair site outside holding 3 cats in her arms.,The woman has cats in her arm.,0
Two men stand on scaffolding against a red brick building.,The guys stand next to the brick building on the scaffolding,0
A man and his girl are crossing the street.,A couple are in the house making dinner.,2
A red-haired girl poses in back of a car.,The girl is asleep on the backseat.,2
"At a martial arts demonstration, a few men in white uniforms stand atop one another, doing stunts.",The men are meditating on the ground.,2
A young woman with beads and feathers in her hair smiles as she applies body paint to someone's hand.,The woman is an artist.,1
A guy working in a cubicle while drinking coffee.,A human is consuming coffee.,0
A boy jumping on a trampoline.,a trampoline is being jumped on,0
A person is laughing on a roller coaster ride.,A person is riding on a roller coaster for the first time.,1
A young child wearing a Pokemon shirt and holding a box outside in an urban area.,A child has a shirt on,0
A man in a tuxedo is hula-hooping while bridesmaids and other people watch.,The man in the tuxedo was racing people from the wedding.,2
A brown dog is chasing a tattered soccer ball across a low cut field.,A dog is outside.,0
"Four people are sitting on the beach, looking out towards the ocean.",Four people are eating lunch on the beach.,1
Two men in red shirts and blue pants are playing hockey.,The men are throwing the baseball back and forth.,2
A dark-skinned man in a white sports outfit plays basketball.,The man is playing basketball alone.,1
a man taking a pizza out of an oven,A man is making spaghetti,2
Two little kids walk side by side while one eats something.,Two children walking together.,0
A little girl is sweeping a patio with a broom that is bigger than she is.,A small girl uses a big broom outside.,1
A group of people are standing next to a blue wooden fence while people walk by.,A group of people are standing next to a fence while people walk by.,0
A woman in a white blouse holds a cigarette and talks to someone.,Two people are having a conversation.,0
"An apparently homemade pontoon boat with five people is seen approaching the bank of a river or lake shore on a cloudless, calm day.",A homemade boat appraoches a river bank.,0
A woman in a blue plaid shirt and sunglasses scratches her face as she walks down the street.,A woman scratches her face because it was itchy.,1
A band playing on stage for a crowd of people.,A crowd of people are watching the band play on an outdoor stage.,1
"There are five guys wearing blue uniforms and red and black hats in a plaza, one of them with an accordion.",A group of men playing tennis,2
Young women playing a intense game of lacrosse.,Some women are outisde,1
One man throws a flying kick at another man.,Karate champions spar in the Olympic finals.,1
"Crowded street scene with people carrying parasols, tall buildings with Korean signage, and strings of overhead flags flapping in the breeze.",The deserted street is covered in snow.,2
Two men sit on a old car.,Some people are driving in traffic.,1
"A baseball player is running to a base, while his teammate is sliding to a base in the background.",The baseball player has just hit the ball so now he has to run to the base.,0
A motorcyclist performing amazing tricks in front of a crowd of thousands.,A huge crowd is being entertained.,0
A large orange dog runs through the grass by the water where a large boat is sailing in the background.,A dog running outside.,0
Two boys are riding a zipline between trees.,Two boys are having fun.,1
A boy is walking through a parking lot filled with cars.,Toby cut through the parking lot to get home.,1
Two black dogs are trotting through an empty public area.,Two black dogs are running.,0
A brown dog jumping over a pole.,A dog is sleeping next to a pole.,2
A woman tastes a watermelon at an outdoor market.,This woman is talking about corn.,2
Several Students watch a teacher in art class.,Students are watching a teacher.,0
A beach crowded with beachgoers.,A crowd watches a parade on the street.,2
A tourist with a backpack takes a stroll on a narrow cobblestone street.,A tourist is walking.,0
"A man with a beard sits with a guitar that's opened up, and wires exposed.",A man sits with a guitar that has wires exposed.,0
"Two dogs, one holding something in its mouth, in the snow.",Two horses in the snow.,2
A middle-aged woman is getting her hair done in a barber shop with polka-dotted walls.,She was having her hair done.,0
A man in an orange draped outfit raking leaves.,A person working outside.,0
A group of young men are working together to build something out of wood.,The young men are building a tree house.,1
A man preparing pastry dishes wearing a hat.,A chef is preparing croissants in the kitchen.,1
A man in a raincoat is standing in the rain.,"A man is in a yellow raincoat, during last week's storm.",1
A woman is walking on sand next to a body of water with mountains in the background.,Jenny has a relaxing walk by the Great Salt Lake.,1
A few people are walking through the snow to cross a bridge.,The friends are wearing snowboots.,1
A man is walking through a building while holding a small child's hand.,The guy and a kid are inside a building.,1
asian children in their classroom singing and dancing,Asian children skip around outside.,2
A girl playing her guitar in her bedroom.,A girl plays an instrument in her home.,0
"A road worker is holding a stop sign, while his coworker is working on the road.",The worker is holding a sign.,0
The young adults take a group shot of themselves.,People are taking a picture.,0
A man and a young girl in a pink bathing suit float together on an inflatable tube in the water.,Two people are on an inflatable tube.,0
a team of rowers rowing in a green and red boat,The men are playing tennis.,2
A woman in a dress is holding something she has caught on the beach.,The woman is building a sand castle,2
A blond man passionately sings into the microphone.,A man sings a love song into a microphone.,1
A guitarist plays at a microphone with some drums visible past him.,The lead guitarist plays the band's most polular song.,1
A mountain climber scales a steep rock face.,A mountain climber scales a rock.,0
"A group of men pose for a picture, all in orange reflective vests.",A group of men are asleep in their quarters.,2
A boy with a black and white striped shirt is about to kick a pink soccer ball.,Boy kicking soccer ball,0
A guy and a girl presenting object to each other.,Two people are reading in the park.,2
A person is riding a horse as it jumps over an obstacle.,A girl jumps a horse over a fence.,1
The toddler is ready to climb the red piece of equipment.,The toddler might be thinking of climbing to the top.,1
A man in a blue shirt and a woman in a white shirt smile while walking next to cars.,"A man and women were walking in the parking lot, full of smiles.",0
A man hitting a red ball with a bat while running in grass.,A man plays a video game inside,2
The large black dog and a small red and white dog are standing in the water.,The dogs are taking a bath.,1
People are walking on the sidewalk along the parking lot in front of a home improvement store.,a group walks by a store that is going out of business,1
Fans are watching an event in a stadium.,The fans are watching.,0
A woman in a top hat is trying to get into a maroon car at night.,A woman is sleeping,2
A male surgeon wearing a red cap and teal scrubs performing surgery with two other men wearing teal scrubs.,A surgeon is wearing normal clothes while performing surgery.,2
a baseball player in mid-swing.,These two are fighting over the bat,2
A group of men are running on a beach.,The men are running on the beach.,0
A small brown dog swims in the water.,The water is in a 1/8 cup measuring cup.,2
These people are having a good time.,Several people are weeping.,2
The tribes chef's wife is showing how the woman do clothes.,The tribes chef's pretty wife is showing how,1
Two fluffy white dogs running in green grass.,Two dogs chase a ball together.,1
Two people in red shirts sitting in chairs outside of a small trailer.,A girl is sitting at a desk.,2
A little boy playing in the water while its raining and an adult while an adult holds his hand,People are in the rain.,0
A construction worker on a mechanical lift.,A construction worker on a lift.,0
Several people are praying in the square.,Several people are praying for good fortune.,1
a group of people sitting on the ground on the sidewalk,a group of teenagers hang out on the sidewalk,1
A band playing s song in front of a crowd.,A band plays a song while pyrotechnics go off in the backround.,1
a man reads his paper on the bench.,The man is spraying water on the growing brush fire near the park bench.,2
Two old men play guitar and sing at a rock concert.,Two men are singing by themselves.,2
People are being served food outdoors.,The people were served outside.,0
The three men are all wearing a black jacket with yellow highlighting tape.,The three guys are wearing the same jacket.,1
The elderly man is enjoying time in the park visiting with friends.,Elderly man in the park with friends.,0
A gray-haired woman in a yellow jacket looks at vegetable produce at a farmer's market stall.,A young man wearing a red jacket looks at meat in a Whole Foods supermarket.,2
"On the face of a smooth, steep rock, a man who is mountain climbing and who is attached to a blue rope that has been fastened to the rock, is seen from below.",A man uses a blue rope to climb a mountain.,0
"During karate practice, one student kicks through a wooden plank while another individual holds it at face-height.",The students are sitting on the floor watching the teacher.,2
A man stands among cement fixtures in front of a donut shop.,The man is going to buy donuts.,1
A girl with a red scarf wrapped around her neck is walking down the road carrying a white bag.,A girl is walking down the road.,0
"A fat woman with a black shirt on, sitting across from a thinner woman wearing a green jack, while they're both on they're laptops.",large woman and small framed woman work on their laptops,0
Students in science class using stethoscope to see small objects,Students are in science class using stethoscopes.,0
A man on a surfboard jumping off the top of a wave.,A man is on a surfboard,0
A girl eating a peach.,she is eating a fruit.,0
Two men are untangling their nets on the dock.,fishermen are getting ready for thie day,1
Two men are kayaking in whitewater.,Some people are on kayaks.,0
Three young men dancing at a party and drinking.,The three young men are dancing at a birthday party.,1
Two silhouettes of joggers as they go under a dimly lit tunnel.,There are two joggers.,0
A man in a suit talks to a woman in a black dress.,The people are at a party.,1
A man in a white hat is standing behind a woman with a red shawl over her head.,A man and woman are standing next to each other.,0
A woman is playing tennis while sitting down in the grass.,"The woman is eating an ice cream cone, enjoying the sunny day",2
A man drills his stuffed animal.,A man with a power tool,0
"Two jockeys, one in yellow, one in blue, riding horses in a race.",A single jockey standing with his horse.,2
A little blond girl sits on a trail to examine something more closely.,The girl is a woman about to be married in a traditional ceremony in a church.,2
A dog with a blue ball running in a field.,The dog is indoos.,2
A person wearing a gray sweatshirt bikes through an alley full of parked cars on a cool fall day.,A person is outside.,0
A man in a pink shirt kneels down and looks right at the camera.,A man is looking at the camera.,0
A brown dog is chewing on a white rug whilst standing on a red carpet next to a checkered floor.,The brown dog is on the carpet.,0
A man shaves his face with a green razor in closeup.,A man is napping.,2
A man on a 4-wheeler is in midair in a dry dusty area.,A man is 4 wheeling.,0
A baby wearing a Santa hat and a red outfit playing with a Santa Claus figure.,A baby plays with a toy.,0
"A woman in a red shirt and Canadian flags painted on her cheeks and stuck in her hair band, is eating a dish",An american is celebrating the fourth of July.,2
"Man in American Flag print shorts, hat, and shirt.",The man is patriotic because he wears the American flag on his shirt.,1
A child carrying something in their shirt walks in the rain on the street.,A child is sitting on a bench.,2
Many people have gathered to protest the government.,The people are protesting the government.,1
A man with a toy in his hand on a beach playing with his dog.,A man is playing fetch with his dog.,1
A woman in a green shirt and shorts is putting strawberries in a bag at an outdoor grocery stall.,A woman is weighing her meat.,2
A group of six people have jumped into the air in the middle of nowhere and one is catching a ball.,An urban gym is the scene of an organized basketball game.,2
Two dog wrestling.,The dogs are playing.,1
Two people smile at the camera while holding a sign.,Someone is holding a sign.,0
An older heavyset man is resting on a bench with his shopping cart nearby.,An older heavyset person is resting on a bench with his shopping cart nearby.,0
Two rocket dragsters racing at a dragsters.,Two motorcycles at the starting line.,2
A one-armed man in a brown shirt sits in a chair facing the camera.,A man sits towards the camera.,0
Two man and women making coffee.,Two men are making coffee while the woman makes donuts.,2
"A boy with a purple, spiky Mohawk plays violin.",A punk plays violin.,1
The woman in the picture is having a wristband placed on her.,The woman in the picture is caucasian.,1
The surfer is riding a wave.,A person on a floating object are on the water.,0
A man in a brown collared shirt stares off into the distance at a park.,The man is looking for a friend in the distance.,1
The train is sitting at the train station with not too many passengers around.,A train is leaving the station without passengers.,2
A lady singing on stage with drums in the back.,Aw oman sings on stage in front of drums.,0
Some people are walking down the sidewalk in a city.,Some people are skateboarding down the sidewalk in a city.,2
"Three children, dressed in heavy coats, gloves, and knit caps, cover their mouths.",Three children swimming in a pool.,2
"A man is sitting, playing a guitar, with the vista of a city as his backdrop.",A man plays overlooking San Francisco.,1
A large number of elderly people are sitting on benches outdoors.,Senior citizens are outside on the benches.,0
"Two men in a city working at a construction site, with tall buildings behind them.",Two man are at work in the city.,0
"A woman is sitting on the sidewalk, sketching an image with chalk.",a lady plays with chalk on the ground,0
A man wearing an orange vest is in a lift while extending one arm out.,A man riding in the lift was waving his arm.,0
"Two women, sitting on towels at the edge of a concrete wall, having a chat.",A group of kids playing dodge ball.,2
"People walk down a city street at nighttime in front of construction and a ""Do Not Enter"" street sign.",People walk by a construction site while going to dinner.,1
"two girls wearing gray sweat jackets picking on the side of a busy road, one of the girls is picking up something off the ground while the other looks on.",A person loves this jacket.,1
Two girls and a boy are walking across an intersection.,Some people are running across the sidewalk.,2
One brown and one black dog in grass.,The dogs are sleeping on there mats inside in front of a fire.,2
"Women in white, with white bonnet, clothespins fabric on a clothesline.",A woman drys clothes in the yard,1
a man in a purple shirt is standing in a stadium with his eyes closed.,A man is sleeping.,2
The large brown dog is running through the grass to catch a red Frisbee.,The cat chases the dog through the long grass.,2
A man wears a white turban outside.,The man is Indian.,1
Factory workers are steadily completing their jobs.,Factory workers take a lunch break during the day.,2
Several government workers working on a railroad crossing.,Several people are working on the railroad crossing.,0
