premise,hypothesis,label
An older gentleman in an orange jumpsuit and gray hat is on the curb with a black trash bag and a broom.,A man is cleaning up around his house.,1
Boy and girl running along the beach.,Two people run on the beach.,0
Four men do repair work on a roof.,Four men work with tools.,0
A long-haired young man skateboarding on the rails on a cloudy day.,A girl is riding a bike.,2
A band performs on stage.,People are listening to a rock concert.,1
A worker dressed in a clean suit polishes a large mirror.,A worker enjoys cleaning.,1
Member of the Royals baseball team crossing the plate.,The baseball team is winning.,1
Two Hispanic ladies wearing bright clothing are crossing the street with a young girl who is dressed in a similar fashion.,All three of these people are female.,0
"A young boy stands on a golf mat with a city on the horizon, and a golf club in his hand, which appears to have just been swung.",A boy has just swung his golf club at the goft course.,0
A brown dog running through a pond.,The dog is running.,0
"Two females are playing rugby on a field, one with a blue uniform and one with a white uniform.",Two people are playing rugby outside.,0
A smiling boy goes down a brown slide.,The boy is playing.,0
A person picks up things in a rocky spot next to a car.,A person picks up rocks.,1
"A man in blue jeans, a tan canvas long-sleeve shirt, and rubber gloves, holds a braided metallic wire.",A baker decorates a cake.,2
A man in a white shirt cutting a cake while coworkers watch.,A man wearing a white shirt cuts cake in front of his coworkers.,0
A man in a red shirt walks past a store with a huge rocking chair.,The man does not see a giant rocking chair.,2
A tree limb has fallen across the sidewalk near the pavilion.,The tree limb has flowers on the tip.,1
"An old bald man is sitting in a folding chair in front of a sign on the side of the road, in front of a brick building with a window that has the sign ""BATIMENT INHABITABLE.""",the man is a pilot flying home,2
A blond child is laying on a branch of a tree in a green field.,A brunette child is laying on a small branch of a tree in a green field.,2
A woman plays an ornately decorated piano while the man next to her plays a recorder.,The man and woman are practicing for an upcoming show.,1
Two construction workers are bent over and straddling a metal I-beam.,Two workers are over the metal beam.,0
The ballroom of a big party or maybe a big business meeting which has a lot of people dressing nice.,The people are dressed nice.,0
A child using an electric mixer in a bowl.,A kid combining things.,0
A Boston Terrier is running on lush green grass in front of a white fence.,A dog is running in the grass.,0
Young girl in pink coat walking beside man dressed in clown attire and striped pants down a sidewalk.,A girl is walking by sidewalk.,1
Athletes who are wearing numbered outfits are preparing to enter the water for a sporting event.,Athletes are wearing numbered outfits preparing for the singing competition.,2
A person descends a rope from a cliff into the ocean.,Descends rope from cliff into the ocean.,1
A woman in red wearing a blue hat is taking a picture outside.,The woman is outside.,0
"A group of people, old and young, men and women, sit around a table doing arts and crafts.",There are only men around the table.,2
A man in a blue shirt singing while a girl in a black dress plays guitar in the background.,Both the man and the girl are very talented.,1
A little boy grinning with a go-cart in the background.,The go-cart was a gift for his birthday.,1
Two men and two women are preparing a large meal in the kitchen.,a large man cooks for himself alone.,2
A young girl in a black dress is holding a red flag and covering a happy expression.,A girl is holding a flag and a boy is watching.,1
A woman in a green shirt and black pants running.,The police woman sits in her squad car.,2
A young woman wearing jeans and a red tank top is sitting on a porch with a young man wearing a necklace and shorts.,A young woman is wearing jeans and a red tank top,0
A man in a red shirt and jacket is looking to the side while surrounded by other men wearing helmets.,The man is not within a mile of another human being.,2
A woman is outside looking over the ocean as the sun sets.,A woman on a boat looking at the sun set.,1
"A group of students, all dressed in white shirts, ties and maroon pants, walking down a street.",The students are wearing all black.,2
A woman in a striped denim jacket is walking by a fence.,The woman is going to meet her friend.,1
"A girl in a striped shirt is drinking from a bottle, while a girl behind her talks on a cellphone.",The girl talking on the phone is the big sister of the girl in the striped shirt.,1
A man working with metals using welding or grinding tools.,The man is sweating from all the hard work.,1
Men play football as a crowd watches.,No one attended the game.,2
a dog chases another dog.,the dogs are outside,1
the dog barks at the toy.,The dogs are fighting over the toy.,1
A family is relaxing on their bright yellow boat.,A family is relaxing on their bright yellow plastic boat.,1
Two older women in matching blue jackets playing saxophones in front of two large paintings.,"The two woman are mortal enemies, and can't stand to be in the same room as each other.",2
Three football players and two are fighting for the ball.,the child is black,1
Men and women walking down a sidewalk.,A subway ride through town.,2
Little redheaded boy looking at a toy train.,A little boy is playing catch,2
Some children are playing in a slum.,Some children are playing in a nice park.,2
A man is standing in front of a small red object that looks like a plane.,The man is not in a wheelchair.,0
"This little girl, her blond-hair held back by a red band, sticks her tongue out playfully at the camera.",The little girl is posing for a picture for her granny,1
Two boys are playing flag football.,Two high school boys play flag football.,1
A man with glasses is playing his instrument in a small crown of people that includes another man in a suit with a trumpet.,The crowd is listening to the musicians.,1
A happy young bar tender eagerly awaiting her customers.,The bar tender is waiting.,0
"A young boy is playing on a piece of playground equipment that features tires which he must step in and out of, while keeping his balance.",A young boy is playing at the park.,1
"A woman is kneeling down on the sidewalk pointing at the ground as she holds the attention of six people, one of which is in a wheelchair.",A woman pushes a person in a wheelchair in a hospital.,2
A man holding a video camera is recording an orchestral performance.,a man records performance,0
One man is holding a beer and the other is taking a bite of food.,Two men are having lunch.,1
A man is holding a baby in a sling.,The child is wearing a cowboy hat.,1
A football player runs down the field as he tries to avoid getting tackled.,The player is holding a boxing glove.,2
A woman with blond-hair is sitting in a booth with a drink working on her laptop.,A women is catching up on work after her vacation.,1
A person is attempting to pick up a spare while bowling.,The bowler has just bowled a strike.,2
A young boy is caught making a mess of his room.,A young boy is in his room.,0
A man smoking a cigarette in front of a horizontal garage.,Nobody is smoking,2
A barefoot man in rainbow shorts and a green shirt completes a food purchase at an outdoor concession stand.,The man makes a food purchase.,0
A group of musicians play outside in front of a large crowd.,Four banjo players play outside in front of a large crowd.,1
Three men are working outside in the sun.,The men are splashing in the rain puddles.,2
A musician and a lady with brown hair are about to sing.,The man and woman are getting ready to perform.,0
An Asian man in a tan shirt and glasses holds his camera up to take a picture in an art gallery.,A man takes a picture in the art gallery.,0
A group of people are working on an unfinished wooden shed.,They are all alone,2
An african american gets a haircut.,They are donating their hair to the make a wig for cancer society foundation,1
A boy sand surfing down a hill,The boy sand surfed down the hill.,0
A group of Caucasian people are singing and holding music books to help guide them.,Threre are a lot of people swimming.,2
Two women are sitting and talking.,Two women are moving a dresser.,2
Two dogs are playing tug-of-war with a blue object in front of a building.,Two dogs are playing outside.,0
"A kid with Green shoes, red shorts, and a blue hat and shirt stands on a stretch of pavement.",A little boy is standing in a street looking for his friend.,1
"Two men are toasting a cup of beer together, while another watches.",Two men are holding beers.,0
Two people are talking near a red phone booth while construction workers rest nearby.,The people are ignoring eachother.,2
A man in a black tank top is putting clothes out on the line to dry.,The man is hanging laundry.,0
a woman walks to the cows.,A woman is inside the grocery store buying meat.,2
A lone person standing on a cliff watching the gulls.,A person stands on a cliff.,0
A man is providing vocals in a sound booth.,The man in a world-famous artist recording his newest album.,1
A man is holding an advertisement for Quiznos Subs.,The man holding the advertisement for Quiznos Subs always has a smile on his face.,1
A little redheaded girl wears a Spider-Man suit while riding a play horse.,A tiny girl is at a Halloween party with a play horse.,1
People riding bikes in a town while traffic goes by over the water.,A group bike ride underneath the town bridge.,1
Two middle-aged men in a room with music equipment speak with each other.,The men are having a conversation.,0
A woman in a black shirt using hand gestures while she talks and a woman sitting in the chair beside her with her hand on her head listening to the woman talking.,The women are igonoring each other.,2
The little boy with the yellow stripe on his hat is in the snow.,The little boy has a yellow hat,0
A man dressed in a burgundy shirt and black pants maneuvering a puppet which is holding a musical instrument.,A well dressed man is having his puppet play guitar.,1
A man in white snow gear is shoveling snow.,A man is raking leaves.,2
A group of men are riding their bicycles in a race.,Some men riding motorcycles.,2
A woman wearing a striped shirt stands in front of a Mercedes.,A woman wearing a shirt stands in front of a Mercedes.,0
A young girl wearing yellow flip-flops is sitting on a large boulder.,a girl is sitting,0
Group of teen males picking up garbage.,A group of teen male workers taking garbage outside.,0
A woman in a yellow shirt is hugging a student at her graduation while another lady watches.,A woman congratulates her daughter for graduating with the highest gpa.,1
A man sets up a video camera before a football game.,A man prepares to film a championship game.,1
An older gentleman is holding a conference.,boy eats cheetos,2
A shirtless man is climbing up a mountainside.,The man is wearing a shirt.,2
Two boys wakeboard.,Two boys are wakeboarding.,0
Welders working at night with sparks flying.,Workers are working during the day.,2
Motorcross jumper in mid-flight beneath a gray sky.,A jumper in the sky.,0
A bus driver talking on a cellphone while driving the bus.,A cab driver talking on a cellphone while driving the bus.,2
A woman wearing black is hugging a child.,A woman is driving a car on the highway.,2
"Basketball players in a stadium with the audience behind them, one player is about to slam dunk and score.",Basketball players are playing a practice game in front of family and friends.,1
A small child posing with Goofy the dog.,A child poses with a Disney character.,0
A young boy with curly blond-hair sits in a blue chair.,A young kid sits in a chair waiting for his mom.,0
Two man are talking inside the baseball playing area,The men are talking at the baseball field.,0
