unique_id,true_label,model_0_predicted_label,model_0_accuracy,model_1_predicted_label,model_1_accuracy,model_2_predicted_label,model_2_accuracy,model_4_predicted_label,model_4_accuracy,difficulty_score
3_1a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
3_1b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
3_1c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_2a,1,0,0.0,2,0.0,1,1.0,1,1.0,0.5
3_2b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_2c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_3a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
3_3b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
3_3c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_4a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
3_4b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_4c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
3_5a,2,1,0.0,2,1.0,1,0.0,1,0.0,0.25
3_5b,1,0,0.0,0,0.0,1,1.0,1,1.0,0.5
3_5c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_6a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
3_6b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_6c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
3_7a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_7b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
3_7c,1,1,1.0,0,0.0,1,1.0,1,1.0,0.75
3_8a,0,1,0.0,0,1.0,0,1.0,0,1.0,0.75
3_8b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
3_8c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
3_9a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
3_9b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_9c,1,2,0.0,2,0.0,2,0.0,2,0.0,0.0
3_10a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
3_10b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
3_10c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_11a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
3_11b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_11c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
3_12a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
3_12b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_12c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
3_13a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
3_13b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
3_13c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
3_14a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
