premise,hypothesis,label
A young blond woman in a polka-dot outfit and black glasses sitting in a restaurant.,A woman in sunglasses is sitting at a restaurant.,0
"A man sings with a choir, dressed in red and yellow.",dog sits on tv,2
A middle-aged man with dark hair and glasses is looking through a telescope while holding a young boy who is looking at the camera.,An older man and a young boy are outside together.,0
A young boy peering out the window of a passenger bus.,There is a bus.,0
A woman in a formal suit takes pictures as the crowd waits patiently for unfolding events.,A crowd of people wait for something to happen as another woman is taking pictures.,0
An asian women standing outside of a yellow building.,A human is by an apartment building.,1
Elementary school child passing basketball in team basketball game.,They are playing basebal,2
Two old women in polka dot dresses sitting on a bench.,Two old women talk about the weather together.,1
A boy is doing work in his bed on a boat.,A girl is doing work in her bed on a boat.,2
A few people on a canoe in the water.,Some guys on a fishing trip.,1
The tennis player has her hair tied back,The pro female players hair is tied back,1
A woman is resting against a cross shaped pole while looking towards a large body of water.,There is not person.,2
Several people waiting on a train coming down the tracks.,A group of people are at a train depot waiting to board a train.,1
A woman stand on a small alley.,A woman is sitting at the park.,2
A bald man in a white shirt is grilling outside during the day in the sunlight.,A bald man in a white shirt is grilling in the sunlight to cook food for his family.,1
Two women float in a Busch Gardens barrel through a winding water ride.,The women are at an amusement park.,0
A child is sitting on a counter helping prepare something to eat by holding a Sunbeam Beatermix mixer waiting to pour in an yellow egg yolk.,A child is sitting on a counter.,0
A young man wearing glasses was reading a book and drinking a diet coke.,The young man has not drunk anything in months.,2
People on the streets walking and talking,the kids are sleeping,2
Three children playing on the sidewalk with big bubbles.,Children playing.,0
Men on horses in the rodeo try to rope in a bull.,The horses are herding sheep.,2
A wet black dog emerges from the water.,A gog was in the water.,1
A street performer is performing with a bike in the foreground.,A person is entertaining a small crowd.,1
Two window-washers are seen from behind hanging by ropes near the top of a white stone building with arched windows.,Both window washers are men.,1
People are sliding down a giant yellow and red slide.,There is a slide.,0
A white dog in a red collar biting an orange tabby cat on a bed.,A white dog with a red collar is biting an orange tabby cat while on top of a bed.,0
A group of people sit on a long bench while children play on the stairs behind them.,A group of people chat while the children play,1
"Two teams, one wearing blue and white, the other in red and white, are playing football.",The team is red is winning the game.,1
A woman in a spotted dress with long hair is walking down a street.,The woman is shopping in a shopping center.,1
Group of children surround and pet white dog with blue collar on grass.,The children are sitting on a school bus.,2
Three people rest on a ledge above the moutains.,The people are adventurous,1
Man getting haircut at barber shop.,A barber is cutting a man's hair with scissors.,1
A man demonstrates his product.,A man is showing a product.,0
two women are in a boat fishing,two women are in a boat.,0
A brown dog is fetching a stick in a country setting.,There is a brown dog fetching a stick in a country setting.,0
"Teenagers making conversation, spending quality time, and playing with elder people.",There are only teens in the room,2
A young dark-skinned boy in a large shirt sitting next to a large pile of sandals.,A white boy is competing in the Olympics.,2
Young women playing a intense game of lacrosse.,The women are having a match.,1
A man is standing on the rocky ground in front of the mountain.,A man stands in front of the mountain.,0
Two men enjoying a beer in a restaurant.,Two musicians enjoying a cold beer after a concert.,1
"3 men in a band surround by equipment with all 3 holding guitars and the man in front looking down with a shoulder strap, brown pants and a white shirt.",Several people are playing football.,2
A group of native people walk in a forest.,the people are women,1
"A standing man plays the guitar while another, seated behind him, smiles and watches.","One man stands, while the other sits.",0
Three women paddle their small boats along the river.,Women walking along side a creek.,2
A crowd of people waiting to cross a street.,People are standing by the road.,0
Three children are with two animals in the water.,"One child plays in the pool, while his friends look on.",2
A man in dreadlocks is singing closely into a microphone while fans gather in street.,The microphone is black.,1
Two men and two women taking a self-portrait,The child is sleep outside.,2
Two girls dressed like hookers on the street,Two hookers are in their house.,2
Person on snow skis airborne over snow with green tree in the background.,The person is building a snowman.,2
A low slung red race car with a driver is sitting on a road.,A race car driver is getting ready for a race.,1
A guy wearing a white shirt breakdancing on the sidewalk.,The guy is playing chess.,2
A woman in red shoes standing next to a Red Bull car.,A spokesperson for Red Bull is offering free drinks.,1
This man seems to be stuck beneath a rock and hard place.,This man seems to be stuck,0
A boy in dark clothing near a fountain water spout.,The boy is not wearing white clothes.,0
A small dog jumping on a street.,The running in street with dog is sleepingc,2
A little boy in a green shirt waves an Egyptian flag.,The boy is wearing overalls.,1
Children playing with a remote controlled car in a road.,kids playing with remote controlled car on the road.,0
"A man, wearing a green coat and tan tuque, sorts through a crate of tomatoes.",The man is looking through peas.,2
A little person wearing a kilt and holding a flag with a lion on it is waving from a stage.,The person is wearing a suit and tie.,2
Mother and Grandmother playing with children.,I'm a Yankee Doodle Dandy.,2
"Two women sit outside on a bench along a street, looking across the street.",Two men are sitting on the bench,2
Two women are facing off in a beach volleyball competition.,Two people face off in beach volleyball.,0
"A man wearing overalls, an orange hat and a yellow shirt is lying on the pavement taking photos with a camera.",a construction worker takes measurements,1
A tennis player on a tennis court bent over and running.,The player is winning the tennis game.,1
A person is holding a baby in yellow.,The baby is Dick Cheney.,2
Man dressed as a gladiator checks his cellphone.,The man an actor,1
A lady in red and black grins at the camera at a costume party.,A woman sitting at home.,2
Two toddlers sitting in mom's lap.,A mother is sitting down with her children.,0
A professional athlete is stepping up to the plate to make a swing at the ball.,A pro baseball player takes his stance at home plate.,1
A little girl with blond-hair and blue eyes is wearing a sweater while she sits next to a warm fire.,A white girl is  keeping warm .,0
A person with a helmet is riding a bike i the grass and dirt.,Someone riding a bike without any protective gear.,2
a woman wearing a purple dress with a blue backpack fixes her hair while wearing sunglasses,Guy watching a woman undress,2
A woman in an overcoat is using her phone while standing outside of a building.,"A woman wearing an overcoat, on her cell outside.",0
A man in a bright yellow jacket and helmet sits astride a motorcycle chatting with a man in a blue sweatshirt.,A man sits in a motorcycle.,0
A woman walking parallel to a yellow line against traffic.,A woman is flying through the sky.,2
"A man, leaning against a concrete wall with his arms resting on top, looks over a balcony.",A man is looking at someone over the balcony.,1
One baseball player lunges at another while he tries to slide for a base.,The player is playing basketball.,2
"A man in a black shirt, white belt, and a pair of jeans standing on a crowded sidewalk smiling, 1 finger pointing to the sky and one hand touching the word Main Entrance on a sign right beside him.",a man is standing,0
A group of people are going on a hike through the woods.,people going on a hike for the first time ever,1
A baby on his knees next to a vending machine on the sidewalk.,The baby is trying to reach the candy.,1
A team stands on a field while fans sit in the audience and some men in suits get their pictures taken.,Superman single handedly fights the entire football team,2
A man in a windbreaker is aiming a powerful rifle or machine gun as he is perched low on a wall in a desert-looking area.,A human aiming,0
A young boy wearing a blue jacket is walking down a brick road with two woman.,The young boy is wearing a yellow jacket.,2
A young man in a green t-shirt strums his guitar while sitting cross-legged on the floor.,a man plays his guitar on the floor,0
Two woman share a small round table in front of a Swedish flag as one reads and another uses a laptop,A woman is reading and another is on her laptop.,0
A guy is skateboarding in front of a crowd.,A guy is skateboarding,0
A man sits on the grass and drinks from a water bottle.,A man drinking water at the park.,1
