premise,hypothesis,label,unique_id
A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,The middle aged oriental woman is watchingt v,2,4_14a
A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,A middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile,0,4_14b
A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,The middle aged oriental woman is very happy,1,4_14c
A man walking proudly down the street.,The man is in the theatre watching Avatar.,2,4_19a
A man walking proudly down the street.,The man is part of the gay pride parade.,1,4_19b
A man walking proudly down the street.,A man is outside.,0,4_19c
Two pre-teen girls listening to music on an MP3 player with headphones.,The music is loud.,1,4_56a
Two pre-teen girls listening to music on an MP3 player with headphones.,Thre are girls.,0,4_56b
Two pre-teen girls listening to music on an MP3 player with headphones.,The player is a cd player.,2,4_56c
A sumo wrestler with a brown belt is pushing another wrestler in a bout.,Two kickboxers excersise in the gym.,2,4_71a
A sumo wrestler with a brown belt is pushing another wrestler in a bout.,One sumo wrestler doesnt like the other.,1,4_71b
A sumo wrestler with a brown belt is pushing another wrestler in a bout.,Two sumo wrestlers compete in a match.,0,4_71c
A woman playing the violin with sunglasses on her head.,a woman is learning to play the violin,1,4_107a
A woman playing the violin with sunglasses on her head.,someone is playing an instrument,0,4_107b
A woman playing the violin with sunglasses on her head.,a woman is eating dinner,2,4_107c
Soccer players on a field from a distance.,Soccer players are in a jacuzzi.,2,4_117a
Soccer players on a field from a distance.,Soccer players are playing an unofficial match.,1,4_117b
Soccer players on a field from a distance.,There are soccer players on the field.,0,4_117c
An oriental women with black sunglasses and a black shirt holding up a cellphone.,the asian woman in shades holds a phone,0,4_213a
An oriental women with black sunglasses and a black shirt holding up a cellphone.,the dog eats legs,2,4_213b
An oriental women with black sunglasses and a black shirt holding up a cellphone.,the asian woman in shades holds the phone she got for christmas,1,4_213c
A girl with brown hair is getting her hair styled by a lady in a pink shirt.,A young girl gets her hair styled for prom.,1,4_236a
A girl with brown hair is getting her hair styled by a lady in a pink shirt.,A girl gets her hair styled.,0,4_236b
A girl with brown hair is getting her hair styled by a lady in a pink shirt.,A boy gets a haircut.,2,4_236c
A toddler swings back very high.,a toddler swings high,0,4_257a
A toddler swings back very high.,a boy swings high,1,4_257b
A toddler swings back very high.,a toddler plays on a slide,2,4_257c
Four old adults stand around a bathtub while a toddler is taking a bath.,the boys were angry,1,4_306a
Four old adults stand around a bathtub while a toddler is taking a bath.,the boy was listening,1,4_306b
Four old adults stand around a bathtub while a toddler is taking a bath.,a couple was there,0,4_306c
The woman in the dress is playing guitar and performing on stage.,The woman is playing guitar.,0,4_317a
The woman in the dress is playing guitar and performing on stage.,The woman is performing her number one single.,1,4_317b
The woman in the dress is playing guitar and performing on stage.,The woman is playing the piano at home.,2,4_317c
A kid in black going down an inflatbale slide.,The inflatable slide is sitting collapsed along the ground.,2,4_377a
A kid in black going down an inflatbale slide.,There is an inflatable slide at the company picnic.,1,4_377b
A kid in black going down an inflatbale slide.,A child plays on an inflatable slide.,0,4_377c
A man in an apron smiling as he fries food.,A woman is baking cookies.,2,4_484a
A man in an apron smiling as he fries food.,A man fries some food.,0,4_484b
A man in an apron smiling as he fries food.,A man is making fried chicken.,1,4_484c
"Two men wearing white helmets and neon construction vests, one holding a shovel, bend over while working on a sediment retention wall on the side of a road.",Two men wear blue jeans.,1,4_639a
"Two men wearing white helmets and neon construction vests, one holding a shovel, bend over while working on a sediment retention wall on the side of a road.",Two men look out a window.,2,4_639b
"Two men wearing white helmets and neon construction vests, one holding a shovel, bend over while working on a sediment retention wall on the side of a road.",Two men wear helmets.,0,4_639c
A view of people browsing a store aisle.,A view of an empty store aisle.,2,4_690a
A view of people browsing a store aisle.,An upskirt photo of a girl looking for groceries in a store aisle.,1,4_690b
A view of people browsing a store aisle.,People in a store.,0,4_690c
girls sitting with their hands on their laps,the girls sit together before school,1,4_776a
girls sitting with their hands on their laps,the girls sit together,0,4_776b
girls sitting with their hands on their laps,the cats eat fish,2,4_776c
A baseball player argues with the catcher.,Two people are yelling at each other.,0,4_813a
A baseball player argues with the catcher.,The player doesn't think the catcher got him out.,1,4_813b
A baseball player argues with the catcher.,A paddle boat sailing up the river.,2,4_813c
"A man is holding vases of moving lawn ornaments while wearing inflatable red, white, and blue baseball bats in front of him.",A man holds vases.,0,4_820a
