premise,hypothesis,label,unique_id
"A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.",A lady is about to propose to her boyfriend.,1,2_14a
"A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.",A lady with a serious face is standing with two guys in front of steps outside.,0,2_14b
"A lady in a black and white striped shirt and holding a bouquet of flowers, looks seriously at two gentlemen talking on the steps.",Three guys are standing indoors with flowers in their hands.,2,2_14c
Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.,Four guys are playing cards.,2,2_19a
Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.,Four guys are playing basketball.,0,2_19b
Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.,The four players are handicapped.,1,2_19c
A meeting of young people sitting at a conference table.,young people are at a party having fun,2,2_56a
A meeting of young people sitting at a conference table.,young people are learning about politics,1,2_56b
A meeting of young people sitting at a conference table.,young people are gathered around a table,0,2_56c
Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,Woman wearing nothing sewing her thumb.,2,2_71a
Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,Woman wearing a shirt sewing some jeans.,1,2_71b
Hispanic woman wearing a red plaid shirt works on sewing an article of clothing.,Woman wearing a shirt sewing.,0,2_71c
A man parasails in the choppy water.,The water was choppy as the man parasailed.,0,2_107a
A man parasails in the choppy water.,The man parasailed in the calm water.,2,2_107b
A man parasails in the choppy water.,The calm waves turned choppy as the main started to parasail.,1,2_107c
Two dogs are playing together on white carpet near a couch.,Three dogs are sleeping in the grass.,2,2_117a
Two dogs are playing together on white carpet near a couch.,Two dogs play.,0,2_117b
Two dogs are playing together on white carpet near a couch.,Two brown dogs are playing together.,1,2_117c
Two young adults are enjoying time in the snow.,Two adults are in the snow.,0,2_213a
Two young adults are enjoying time in the snow.,Two adults are throwing snowballs.,1,2_213b
Two young adults are enjoying time in the snow.,Two adults are sitting in the snow.,2,2_213c
A boy is in a field with a toy airplane in the air in front of him.,A boy is playing in a field.,0,2_236a
A boy is in a field with a toy airplane in the air in front of him.,A boy is at a sports event.,2,2_236b
A boy is in a field with a toy airplane in the air in front of him.,A boy is flying a plane with his father.,1,2_236c
A group of people talking at tables.,The people are talking about sports.,1,2_257a
A group of people talking at tables.,The people are having a conversation.,0,2_257b
A group of people talking at tables.,The people are sitting silently.,2,2_257c
A man is standing and talking to another man who is kneeling over some cables.,The man is an electrican.,1,2_306a
A man is standing and talking to another man who is kneeling over some cables.,The man is near the other man.,0,2_306b
A man is standing and talking to another man who is kneeling over some cables.,The man is praying in the church.,2,2_306c
A sculptor in a blue sweater chiseling a piece of stone.,A sculptor in a sweater chiseling a piece of stone.,0,2_317a
A sculptor in a blue sweater chiseling a piece of stone.,A sculptor in a red sweater chiseling a piece of stone.,2,2_317b
A sculptor in a blue sweater chiseling a piece of stone.,A man in a blue sweater chiseling a piece of stone.,1,2_317c
Workers at a construction site.,Workers abandoned the site to go on strike.,2,2_377a
Workers at a construction site.,Male and female workers are at the construction site.,1,2_377b
Workers at a construction site.,The are workers at the construction site.,0,2_377c
A child in a blue jacket and black cap sits amongst flowers and candles.,The child is wearing a red cap.,2,2_484a
A child in a blue jacket and black cap sits amongst flowers and candles.,The child is not standing.,0,2_484b
A child in a blue jacket and black cap sits amongst flowers and candles.,The child is a girl.,1,2_484c
Six dogs walking beside the beach.,Six dogs are on the beach.,0,2_639a
Six dogs walking beside the beach.,Six dogs are lying on the beach.,2,2_639b
Six dogs walking beside the beach.,Six dogs walking beside the water.,1,2_639c
A boy in a denim jacket is smiling.,The boy is wearing a jacket.,0,2_690a
A boy in a denim jacket is smiling.,The boy seems sad.,2,2_690b
A boy in a denim jacket is smiling.,The boy is outside.,1,2_690c
A group of men dressed in blue in Monk style robes kneeling and bowing on a wooden floor.,The group of men are dressed in tuxedos.,2,2_776a
A group of men dressed in blue in Monk style robes kneeling and bowing on a wooden floor.,The monks are kneeling on the floor.,0,2_776b
A group of men dressed in blue in Monk style robes kneeling and bowing on a wooden floor.,The men are white men.,1,2_776c
A man toasts buns behind the counter of a restaurant.,A man is making a sandwich.,1,2_813a
A man toasts buns behind the counter of a restaurant.,A man is at home cooking dinner.,2,2_813b
A man toasts buns behind the counter of a restaurant.,A man at a restaurant.,0,2_813c
Two hikers climbing a snowy hill.,A man and woman walk on a hill.,1,2_820a
Two hikers climbing a snowy hill.,Two people walk in the sun snine.,2,2_820b
Two hikers climbing a snowy hill.,Two people walk on a snowy hill.,0,2_820c
A small white dog runs across the sand.,A dog is in the desert.,1,2_870a
A small white dog runs across the sand.,Some sand has a dog on it.,0,2_870b
A small white dog runs across the sand.,A dog is on pavement.,2,2_870c
A girl in a pink outfit looks through luggage in a tent city.,A girl is laying down in her class.,2,2_905a
A girl in a pink outfit looks through luggage in a tent city.,A girl is in a pink outfit.,0,2_905b
A girl in a pink outfit looks through luggage in a tent city.,A girl is wearing clothes.,1,2_905c
A small child in a white hooded sweatshirt stands at the door.,A child is wearing a shirt with a hood.,0,2_977a
A small child in a white hooded sweatshirt stands at the door.,A child is waiting to go outside.,1,2_977b
A small child in a white hooded sweatshirt stands at the door.,A child is sitting on a doorstep.,2,2_977c
A ginger woman and a blond woman eat ice cream cones atop a bridge.,Two brothers have ice cream at Dairy Queen.,2,2_1030a
A ginger woman and a blond woman eat ice cream cones atop a bridge.,Two woman have ice cream at the top of the bridge.,0,2_1030b
A ginger woman and a blond woman eat ice cream cones atop a bridge.,Two lovers go on a date for ice cream at the top of the bridge.,1,2_1030c
An elderly woman in an apron carrying a basket on her head and selling goods to people walking by.,The woman is selling apples to try to keep food on the table for her family.,1,2_1042a
An elderly woman in an apron carrying a basket on her head and selling goods to people walking by.,"There are several people in this photo, and they are all outside.",0,2_1042b
An elderly woman in an apron carrying a basket on her head and selling goods to people walking by.,The woman is trying on shoes at the local department store.,2,2_1042c
"A bored looking man sits in between two instruments, on his right is a large drum and on his left is something else- he is probably playing music for some performance.",The man here is having a great time.,2,2_1052a
"A bored looking man sits in between two instruments, on his right is a large drum and on his left is something else- he is probably playing music for some performance.",Some percussion instruments can be seen.,0,2_1052b
"A bored looking man sits in between two instruments, on his right is a large drum and on his left is something else- he is probably playing music for some performance.",The man is a studio drummer.,1,2_1052c
Citizens are being blessed.,The people in the picture are engaging in vile and immortal acts at the moment.,2,2_1181a
Citizens are being blessed.,The people are being blessed by the Pope.,1,2_1181b
Citizens are being blessed.,Some of the people here are probably more religious than the average person.,0,2_1181c
A young child wearing orange balances on a snowy ledge.,Brightly dressed cild stands on a snowy ledge.,0,2_1254a
A young child wearing orange balances on a snowy ledge.,Billy hides fromhis mother on the snowy ledge.,1,2_1254b
A young child wearing orange balances on a snowy ledge.,Billy swims in the ocean.,2,2_1254c
Adjustments being performed on a bicycle under a tent.,Adjustments being performed on a bicycle,0,2_1269a
Adjustments being performed on a bicycle under a tent.,Adjustments happily being performed on a bicycle,1,2_1269b
Adjustments being performed on a bicycle under a tent.,Adjustments not being performed on a bicycle,2,2_1269c
A mechanic holding part of an engine puller in a repair shop.,A person holding part of an engine puller in a repair shop.,0,2_1303a
A mechanic holding part of an engine puller in a repair shop.,A man holding part of an engine puller in a repair shop.,1,2_1303b
A mechanic holding part of an engine puller in a repair shop.,A fireman holding part of an engine puller in a repair shop.,2,2_1303c
A film crew documents a female track-and-field athlete in the act of throwing a javelin.,The film crew are amateur.,1,2_1308a
A film crew documents a female track-and-field athlete in the act of throwing a javelin.,The film crew is filming a basketball player.,2,2_1308b
A film crew documents a female track-and-field athlete in the act of throwing a javelin.,The athlete is about to throw something.,0,2_1308c
A man with a dark hat and a blond woman walk through the water with the aide of sticks.,The people are running through the field.,2,2_1371a
A man with a dark hat and a blond woman walk through the water with the aide of sticks.,The husband and wife are walking through the water.,1,2_1371b
A man with a dark hat and a blond woman walk through the water with the aide of sticks.,The man and woman are going for a walk.,0,2_1371c
two boy scouts filling bucket with water from a sink,Two boy scouts were singing camp songs.,2,2_1424a
two boy scouts filling bucket with water from a sink,two people filled a bucket.,0,2_1424b
two boy scouts filling bucket with water from a sink,Boy Scouts filled a bucket to put out a fire.,1,2_1424c
A young boy wearing a gray sweater is coloring on a piece of paper with crayons.,The young boy is coloring for some homework project.,1,2_1445a
A young boy wearing a gray sweater is coloring on a piece of paper with crayons.,The young boy is coloring.,0,2_1445b
A young boy wearing a gray sweater is coloring on a piece of paper with crayons.,The young boy is erasing something.,2,2_1445c
A young man and woman sit at a small table amidst flying playing cards.,People playing cards.,1,2_1455a
A young man and woman sit at a small table amidst flying playing cards.,People sitting at a table.,0,2_1455b
A young man and woman sit at a small table amidst flying playing cards.,A child flying a kite.,2,2_1455c
Two girls in bright green boots and a woman are together.,Three women are together,0,2_1502a
Two girls in bright green boots and a woman are together.,A man sits alone in his kitchen,2,2_1502b
Two girls in bright green boots and a woman are together.,A mother and her two daughters hike outdoors,1,2_1502c
A young boy shoveling snow.,A young boy sitting indoors.,2,2_1544a
A young boy shoveling snow.,A young boy outside.,0,2_1544b
A young boy shoveling snow.,A young boy clearing snow from his home.,1,2_1544c
A woman in a green jacket is posing for a photograph.,The woman is having the photograph taken for her boardroom portrait.,2,2_1644a
A woman in a green jacket is posing for a photograph.,The woman poses in a green jacket.,0,2_1644b
A woman in a green jacket is posing for a photograph.,The woman is having her picture taken.,1,2_1644c
"Two young boys, wearing just underwear, climb around a vehicle.",Humans climbing,0,2_1658a
"Two young boys, wearing just underwear, climb around a vehicle.",Funny humans climbing,1,2_1658b
"Two young boys, wearing just underwear, climb around a vehicle.",Nobody is climbing,2,2_1658c
A motorcycle rider leans in during a turn.,A motorcycle winning a race.,1,2_1665a
A motorcycle rider leans in during a turn.,A bicycle rider leans in during a turn.,2,2_1665b
A motorcycle rider leans in during a turn.,A motorcycle making a turn.,0,2_1665c
A dog sits between a man and a woman while they are eating.,The man and woman are playing chess.,2,2_1776a
A dog sits between a man and a woman while they are eating.,The dog is relaxing.,0,2_1776b
A dog sits between a man and a woman while they are eating.,The dog is a stray dog.,1,2_1776c
A man on a ladder cleans the window of a tall building.,A man is cleaning windows.,0,2_1833a
A man on a ladder cleans the window of a tall building.,The building has many windows to clean.,1,2_1833b
A man on a ladder cleans the window of a tall building.,The tall building does not have any windows.,2,2_1833c
A young girl moves some suitcases that are near an open window.,a young girl moves some suitcases,0,2_1864a
A young girl moves some suitcases that are near an open window.,the woman is carrying a cardboard box to the car,2,2_1864b
A young girl moves some suitcases that are near an open window.,it is raining through the open window onto her stuff,1,2_1864c
"A golden furred puppy sits, gazing out the back window of the car, with his pink clad doll.",A golden puppy is inside a car being driven around.,0,2_1874a
"A golden furred puppy sits, gazing out the back window of the car, with his pink clad doll.",A golden puppy is going to get his shots are the vet.,1,2_1874b
